age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
0.46575342465753417, Self-emp-not-inc, Some-college,0.6, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,0.5510204081632653, United-States, <=50K
0.2876712328767123, Private, HS-grad,0.5333333333333333, Never-married, Sales, Own-child, White, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.3150684931506849, Self-emp-inc, HS-grad,0.5333333333333333, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,0.5, United-States, >50K
0.726027397260274, Private, 10th,0.33333333333333337, Widowed, Craft-repair, Unmarried, White, Male,0.0,0.0,0.44897959183673464, United-States, <=50K
0.41095890410958896, Private, Bachelors,0.8, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,0.5, United-States, >50K
0.0821917808219178, Private, HS-grad,0.5333333333333333, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.2328767123287671, Private, HS-grad,0.5333333333333333, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,0.2959183673469387, United-States, <=50K
0.41095890410958896, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,0.346938775510204, United-States, <=50K
0.5205479452054793, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.3150684931506849, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,0.520408163265306, United-States, >50K
0.0547945205479452, Private, HS-grad,0.5333333333333333, Never-married, Other-service, Own-child, White, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.2465753424657534, Private, Some-college,0.6, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,0.5, United-States, <=50K
0.4931506849315069, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,0.37755102040816324, United-States, <=50K
0.3698630136986301, Private, Assoc-acdm,0.7333333333333334, Divorced, Tech-support, Unmarried, White, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.3698630136986301, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,0.47959183673469385, United-States, >50K
0.5616438356164384, Private, 11th,0.4, Widowed, Other-service, Not-in-family, White, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.2876712328767123, Private, Bachelors,0.8, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,0.39795918367346933, United-States, >50K
0.1780821917808219, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Other-service, Wife, White, Female,0.0,0.0,0.2959183673469387, United-States, <=50K
0.1232876712328767, Local-gov, Bachelors,0.8, Never-married, Prof-specialty, Not-in-family, Black, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.0273972602739726, Private, HS-grad,0.5333333333333333, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,0.2959183673469387, United-States, <=50K
0.2054794520547945, Self-emp-not-inc, Bachelors,0.8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,0.7040816326530611, United-States, >50K
0.7534246575342465, Private, 10th,0.33333333333333337, Divorced, Prof-specialty, Not-in-family, White, Male,0.0,0.0,0.11224489795918367, United-States, <=50K
0.30136986301369856, Private, Masters,0.8666666666666667, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.45385674931129477,0.2346938775510204, United-States, >50K
0.2465753424657534, Self-emp-not-inc, HS-grad,0.5333333333333333, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,0.5, United-States, <=50K
0.30136986301369856, Private, Bachelors,0.8, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0,0.0,0.39795918367346933, Philippines, >50K
0.30136986301369856, Private, Some-college,0.6, Never-married, Craft-repair, Unmarried, White, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.2191780821917808, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Transport-moving, Husband, Black, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.4520547945205479, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,0.39795918367346933, United-States, >50K
0.0136986301369863, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.1917808219178082, Private, Bachelors,0.8, Divorced, Exec-managerial, Not-in-family, White, Male,0.04650046500465005,0.0,0.44897959183673464, United-States, <=50K
0.6712328767123288, Self-emp-not-inc, Assoc-voc,0.6666666666666666, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,0.5, United-States, <=50K
0.1780821917808219, Private, HS-grad,0.5333333333333333, Divorced, Sales, Unmarried, White, Male,0.01151011510115101,0.0,0.2959183673469387, United-States, <=50K
0.46575342465753417, Self-emp-not-inc, HS-grad,0.5333333333333333, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,0.43877551020408156, United-States, <=50K
0.6712328767123288, Private, Masters,0.8666666666666667, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,0.5, United-States, <=50K
0.1506849315068493, Private, Bachelors,0.8, Never-married, Exec-managerial, Own-child, White, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.30136986301369856, Private, Some-college,0.6, Never-married, Machine-op-inspct, Own-child, White, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.41095890410958896, Private, Bachelors,0.8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.07688076880768807,0.0,0.43877551020408156, United-States, >50K
0.3150684931506849, Private, Some-college,0.6, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0.0,0.0,0.39795918367346933, United-States, >50K
0.1095890410958904, Local-gov, Bachelors,0.8, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Female,0.0,0.0,0.39795918367346933, Vietnam, <=50K
0.5616438356164384, Private, Bachelors,0.8, Divorced, Craft-repair, Own-child, White, Female,0.0,0.0,0.19387755102040813, United-States, <=50K
0.0684931506849315, Private, Some-college,0.6, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.3424657534246575, Federal-gov, HS-grad,0.5333333333333333, Separated, Adm-clerical, Unmarried, Black, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.3150684931506849, Private, Bachelors,0.8, Divorced, Adm-clerical, Not-in-family, Black, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.2191780821917808, Local-gov, Bachelors,0.8, Married-civ-spouse, Protective-serv, Husband, Black, Male,0.0,0.0,0.7040816326530611, United-States, >50K
0.0136986301369863, Private, 11th,0.4, Never-married, Other-service, Own-child, White, Male,0.0,0.0,0.1530612244897959, United-States, <=50K
0.1506849315068493, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,0.6020408163265305, United-States, <=50K
0.3150684931506849, Self-emp-not-inc, Prof-school,0.9333333333333333, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,0.44897959183673464, United-States, >50K
0.547945205479452, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0,0.0,0.520408163265306, United-States, <=50K
0.0821917808219178, Private, Bachelors,0.8, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,0.19387755102040813, United-States, <=50K
0.35616438356164376, Private, Some-college,0.6, Divorced, Prof-specialty, Unmarried, White, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.41095890410958896, Local-gov, Assoc-acdm,0.7333333333333334, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,0.346938775510204, United-States, >50K
0.2876712328767123, Private, 10th,0.33333333333333337, Married-civ-spouse, Craft-repair, Husband, White, Male,0.03103031030310303,0.0,0.39795918367346933, United-States, >50K
0.4246575342465753, Private, Some-college,0.6, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.4520547945205479, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,0.5, United-States, <=50K
0.1643835616438356, Private, Bachelors,0.8, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,0.5510204081632653, United-States, <=50K
0.1095890410958904, Private, Some-college,0.6, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,0.5, United-States, <=50K
0.1232876712328767, Private, Some-college,0.6, Never-married, Prof-specialty, Own-child, White, Male,0.0,0.0,0.020408163265306124, El-Salvador, <=50K
0.2054794520547945, State-gov, Bachelors,0.8, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.4331955922865014,0.44897959183673464, United-States, >50K
0.0684931506849315, Private, Some-college,0.6, Never-married, Farming-fishing, Own-child, White, Male,0.0,0.0,0.24489795918367346, United-States, <=50K
0.41095890410958896, Local-gov, Some-college,0.6, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,0.5612244897959183, United-States, >50K
0.4931506849315069, Local-gov, Masters,0.8666666666666667, Divorced, Prof-specialty, Unmarried, White, Female,0.0,0.0,0.5, United-States, <=50K
0.3835616438356165, Private, Some-college,0.6, Divorced, Prof-specialty, Unmarried, White, Female,0.0,0.0,0.31632653061224486, United-States, <=50K
0.0273972602739726, Private, Some-college,0.6, Never-married, Prof-specialty, Own-child, White, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.0547945205479452, Private, HS-grad,0.5333333333333333, Never-married, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,0.44897959183673464, United-States, <=50K
0.3424657534246575, Self-emp-not-inc, HS-grad,0.5333333333333333, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,0.5, United-States, <=50K
0.4383561643835617, Private, 9th,0.26666666666666666, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,0.44897959183673464, United-States, <=50K
0.5753424657534245, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.4331955922865014,0.39795918367346933, United-States, >50K
0.6849315068493149, State-gov, Some-college,0.6, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,0.07142857142857142, United-States, <=50K
0.1780821917808219, Private, HS-grad,0.5333333333333333, Divorced, Adm-clerical, Own-child, White, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.46575342465753417, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,0.47959183673469385, United-States, <=50K
0.0684931506849315, Private, HS-grad,0.5333333333333333, Never-married, Prof-specialty, Own-child, White, Female,0.0,0.0,0.19387755102040813, United-States, <=50K
0.27397260273972607, Private, Some-college,0.6, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,0.44897959183673464, United-States, >50K
0.547945205479452, Self-emp-not-inc, Some-college,0.6, Separated, Sales, Not-in-family, White, Male,0.0,0.0,0.346938775510204, United-States, <=50K
0.30136986301369856, Private, HS-grad,0.5333333333333333, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.0, Private, 11th,0.4, Never-married, Farming-fishing, Own-child, White, Male,0.0,0.0,0.44897959183673464, United-States, <=50K
0.0684931506849315, Private, Some-college,0.6, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,0.44897959183673464, United-States, <=50K
0.1643835616438356, Private, Some-college,0.6, Married-civ-spouse, Sales, Wife, White, Female,0.0,0.0,0.24489795918367346, United-States, <=50K
0.0273972602739726, Private, 12th,0.4666666666666667, Married-spouse-absent, Other-service, Own-child, Other, Female,0.0,0.0,0.19387755102040813, United-States, <=50K
0.4246575342465753, Private, HS-grad,0.5333333333333333, Widowed, Prof-specialty, Unmarried, White, Female,0.0,0.0,0.24489795918367346, United-States, <=50K
0.3150684931506849, Private, Some-college,0.6, Never-married, Tech-support, Not-in-family, White, Female,0.0,0.0,0.5, United-States, >50K
0.3835616438356165, Self-emp-inc, Prof-school,0.9333333333333333, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0.07688076880768807,0.0,0.39795918367346933, United-States, >50K
0.1506849315068493, Private, Some-college,0.6, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,0.6020408163265305, United-States, <=50K
0.4383561643835617, Private, Doctorate,1.0, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0.0,0.0,0.5, United-States, >50K
0.2602739726027397, Private, Assoc-voc,0.6666666666666666, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.6027397260273972, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.5616438356164384, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.4520547945205479, Private, HS-grad,0.5333333333333333, Divorced, Adm-clerical, Not-in-family, Black, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.41095890410958896, Private, HS-grad,0.5333333333333333, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,0.47959183673469385, United-States, <=50K
0.2054794520547945, Private, Bachelors,0.8, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,0.6020408163265305, United-States, >50K
0.1643835616438356, Private, Bachelors,0.8, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.2191780821917808, Private, Some-college,0.6, Never-married, Adm-clerical, Unmarried, White, Female,0.0,0.0,0.346938775510204, Puerto-Rico, <=50K
0.5753424657534245, Private, Doctorate,1.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,0.5, United-States, <=50K
0.3150684931506849, Private, Some-college,0.6, Separated, Exec-managerial, Unmarried, White, Female,0.0,0.0,0.19387755102040813, United-States, <=50K
0.5753424657534245, Private, Doctorate,1.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,0.5, United-States, >50K
0.0136986301369863, Private, Some-college,0.6, Never-married, Sales, Own-child, White, Male,0.0,0.0,0.2755102040816326, United-States, <=50K
0.41095890410958896, Private, Some-college,0.6, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,0.6020408163265305, United-States, <=50K
0.0958904109589041, Private, Some-college,0.6, Never-married, Transport-moving, Not-in-family, Black, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.0547945205479452, Private, Some-college,0.6, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,0.44897959183673464, United-States, <=50K
0.1232876712328767, Private, Some-college,0.6, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.4383561643835617, Private, 7th-8th,0.2, Never-married, Prof-specialty, Other-relative, Black, Male,0.0,0.0,0.44897959183673464, United-States, <=50K
0.0410958904109589, State-gov, Some-college,0.6, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,0.09183673469387754, United-States, <=50K
0.2054794520547945, Self-emp-not-inc, Bachelors,0.8, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,0.07142857142857142, United-States, >50K
0.41095890410958896, Private, Some-college,0.6, Separated, Adm-clerical, Unmarried, White, Female,0.0,0.0,0.1530612244897959, Germany, <=50K
0.1095890410958904, Private, 12th,0.4666666666666667, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,0.39795918367346933, United-States, >50K
0.2191780821917808, Self-emp-not-inc, Some-college,0.6, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,0.6020408163265305, United-States, <=50K
0.0821917808219178, Private, 12th,0.4666666666666667, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.0958904109589041, Private, Preschool,0.0, Never-married, Farming-fishing, Not-in-family, White, Male,0.0,0.0,0.3571428571428571, Mexico, <=50K
0.2328767123287671, Private, HS-grad,0.5333333333333333, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0.0,0.0,0.39795918367346933, United-States, <=50K
0.0958904109589041, Private, Bachelors,0.8, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,0.39795918367346933, United-States, <=50K
0.3698630136986301, Private, Assoc-voc,0.6666666666666666, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,0.5, United-States, >50K
